ID,Date,user_id,comments
0,April 2018,biancar,"Zero interest in the car subscription idea.  I like my insurance company and don't want to switch to Liberty Mutual (company Volvo uses).  I'm not interested in being that locked into the dealer's idea of when I might need to switch cars.  For me, ownership only.  No subscription for sure, probably not ever a lease either."
1,April 2018,Mr_Shiftright,"I hadn't thought about being forced into another insurance company, so that's a consideration."
2,April 2018,rkelly17,Also here in PA tax is on the monthly payment. So I assume in a subscription scenario you will pay tax on everything not just the car part of the payment.
3,April 2018,PF_Flyer,"I don't see what the consumer gains in this arrangement given how much these cost. Even factoring in what I pay for upkeep and insurance, how is this of benefit to me? As George Carlin said, ""You can take and nail two sticks together like they've never been nailed together before and some fool will buy it""

The example in the article of a 2015 Nissan Sentra for $800/month. I have a 2014 Versa Note that cost me $288/month(highest car payment I've ever had). That leaves me roughly $500/month to spend on maintenance/insurance to break even. I think owning works in my special situation"
4,April 2018,stickguy,"price aside, it is the convenience they are selling. and short term commitment. So basically, it is a long term rental, taking their insurance. Only way I can see it makes sense. Unless the desire to switch models often is worth the price premium.

I know at times our company had people come from overseas for extended periods that needed a car for maybe a year. This would work for that situation.

I know that I would never be interested in this.
2020 Acura RDX tech SH-AWD, 2023 Maverick hybrid Lariat luxury package."
5,April 2018,Mr_Shiftright,"stickguy said:
price aside, it is the convenience they are selling. and short term commitment. So basically, it is a long term rental, taking their insurance. Only way I can see it makes sense. Unless the desire to switch models often is worth the price premium.

I know at times our company had people come from overseas for extended periods that needed a car for maybe a year. This would work for that situation.

I know that I would never be interested in this.
Egg-xactly! It's all about convenience. To make a comparison, why would ANYONE trade in a car to a dealer when they could get thousands more selling it privately?

But they do, all the time."
6,April 2018,PF_Flyer,"I just cannot imagine, even if I hit the powerball, that I would ever be interested in this. We didn't even talk about restrictions on use mentioned in the article, and what kind of penalties would be involved if you messed up this month's vehicle.

I can't get the idea of Dippin' Dots out of my head. They found a way to put more air into ice cream AND change you more at the same time."
7,April 2018,isellhondas,My prediction for what it's worth is this will quickly die on the vine.
8,May 2018,qbrozen,"I think it can work... for the right price.

To lease a $36k Volvo (that's the MSRP of the XC40 T5 Momentum in the $600 offer) for 2 yrs/24k, let's use the 1% rule plus tax plus DMV and inception fees due at signing, then add a fairly healthy $75/mo insurance (I pay a bit less than that here in NJ, so I'm assuming this should be enough for just about anywhere). Add in 3 oil changes and tire rotations. Oh, and lease disposal fee at the end. I come up with a back-of-the-napkin estimate of $535/mo.

$65 more per month for ""convenience"" seems a bit dear to me. At $550, I may think about it.
'11 GMC Sierra 1500; '98 Alfa 156 2.0TS; '08 Maser QP; '67 Coronet R/T; '13 Fiat 500c; '20 S90 T6; '22 MB Sprinter 2500 4x4 diesel; '97 Suzuki R Wagon; '96 Opel Astra; '11 Mini Cooper S"
9,May 2018,Mr_Shiftright,"It's like trading in to the dealer vs. selling on your own, isn't it? You're paying for the ""convenience"" of it.

It's a clever marketing angle I will say that, because some potential leasees dread being locked in for 36."
10,May 2018,kyfdx,"If the price is right, it could work, but you can guarantee it will be more than doing it on your own.

But, I think it's imperative that it's your only vehicle. Might work best for someone that doesn't already own a car or house (that already gets multi-line insurance discounts).
Edmunds Price Checker
Edmunds Lease Calculator
Did you get a good deal? Be sure to come back and share!

Edmunds Moderator"
11,May 2018,Mr_Shiftright,Plus you are locked into the automaker's insurance carrier.
12,May 2018,kyfdx,"Mr_Shiftright said:
Plus you are locked into the automaker's insurance carrier.
Yes.. I think Volvo uses Liberty Mutual. That's a decent company, so if you didn't have insurance, it might be okay. I wouldn't want to switch, though.
Edmunds Price Checker
Edmunds Lease Calculator
Did you get a good deal? Be sure to come back and share!

Edmunds Moderator"
13,May 2018,stickguy,"I could see it for someone in a situation where they will only need a car for 6-12 months. temporary job, something like that. Where buying does not make sense, leasing is too long, and renting too expensive.
2020 Acura RDX tech SH-AWD, 2023 Maverick hybrid Lariat luxury package."
14,May 2018,Mr_Shiftright,"Well stick, that's what we call a ""niche"" all right!"
