pin_url,pin_id,title,description,image_url,search_term,scraped_date
https://www.pinterest.com/pin/893894226026078395/,893894226026078395,"Tree Pose: How to do Vrikshasana? Step-by-Step Guide for beginners | Tree pose, Yoga tree pose, Yoga","Tree Pose: How to do Vrikshasana? Step-by-Step Guide for beginners | Tree pose, Yoga tree pose, Yoga",https://i.pinimg.com/236x/88/b6/f7/88b6f7c7629c0e3d827f5e392f65fabd.jpg,Vrikshasana,2025-09-05 21:09:54
https://www.pinterest.com/pin/2744449768979467/,2744449768979467,This may contain: a woman doing yoga in front of a lake,This may contain: a woman doing yoga in front of a lake,https://i.pinimg.com/videos/thumbnails/originals/17/b6/bf/17b6bf9c4b68a79c5f5b63219e681a28.0000000.jpg,Vrikshasana,2025-09-05 21:09:54
https://www.pinterest.com/pin/665477282475062015/,665477282475062015,Vrikshasana (Tree Pose) for health for good,Vrikshasana (Tree Pose) for health for good,https://i.pinimg.com/236x/3c/94/8f/3c948f441b72be772f19759e07eb1ad0.jpg,Vrikshasana,2025-09-05 21:09:54
https://www.pinterest.com/pin/370561875569720983/,370561875569720983,"Vrkasana yoga asana | Yoga asanas, Outfits, Middleton","Vrkasana yoga asana | Yoga asanas, Outfits, Middleton",https://i.pinimg.com/236x/99/e3/ae/99e3ae8b9063e95a112398d01e232bee.jpg,Vrikshasana,2025-09-05 21:09:55
https://www.pinterest.com/pin/956522408363200287/,956522408363200287,"Rooted in nature, rising in balance. 🌿🧘‍♀️ in 2025 | Morning yoga, Yoga photography, Yogi lifestyle","Rooted in nature, rising in balance. 🌿🧘‍♀️ in 2025 | Morning yoga, Yoga photography, Yogi lifestyle",https://i.pinimg.com/236x/8b/ff/bf/8bffbf5534ac769e5417a37f744a013e.jpg,Vrikshasana,2025-09-05 21:09:55
https://www.pinterest.com/pin/349943833565353576/,349943833565353576,"Virabhadrasana III Benefits and Steps to do Warrior 3 Pose | Yoga, Guerreros, Posiciones","Virabhadrasana III Benefits and Steps to do Warrior 3 Pose | Yoga, Guerreros, Posiciones",https://i.pinimg.com/236x/b6/27/18/b62718052ae8e14c4d6dc1d6c87dc6e1.jpg,Vrikshasana,2025-09-05 21:09:55
https://www.pinterest.com/pin/3659243437562893/,3659243437562893,"Tree Pose | Yoga poses for beginners, Yoga for flexibility, Yoga for beginners","Tree Pose | Yoga poses for beginners, Yoga for flexibility, Yoga for beginners",https://i.pinimg.com/236x/09/6a/a4/096aa4ad4d845750f028df2e48392bc3.jpg,Vrikshasana,2025-09-05 21:09:55
https://www.pinterest.com/pin/1096556209266300803/,1096556209266300803,"Graceful Tree Pose at Sunrise Embrace Balance and Inner Peace | Tree pose, Sunrise, Serenity","Graceful Tree Pose at Sunrise Embrace Balance and Inner Peace | Tree pose, Sunrise, Serenity",https://i.pinimg.com/236x/db/94/96/db9496805fa0ec497e1b44682dc90810.jpg,Vrikshasana,2025-09-05 21:09:55
https://www.pinterest.com/pin/311944711689604509/,311944711689604509,"200 Hour Yoga Teacher Traning Course in Rishikesh, India | Yoga education, Yoga girl, Rishikesh yoga","200 Hour Yoga Teacher Traning Course in Rishikesh, India | Yoga education, Yoga girl, Rishikesh yoga",https://i.pinimg.com/236x/3b/a5/11/3ba511d40c4f7bb1fa4eadaa386966a3.jpg,Vrikshasana,2025-09-05 21:09:55
https://www.pinterest.com/pin/255368241360951225/,255368241360951225,"Vrikshasana (Tree Pose) - Yoga for Beginners: Vriksha means tree and Asana means pose. | Standing yoga poses, Yoga poses, Basic yoga poses","Vrikshasana (Tree Pose) - Yoga for Beginners: Vriksha means tree and Asana means pose. | Standing yoga poses, Yoga poses, Basic yoga poses",https://i.pinimg.com/236x/2d/5b/62/2d5b62a83c8b98e9e32499ff8e977939.jpg,Vrikshasana,2025-09-05 21:09:55
