Movie Name,Tomatometer,Audience Score
The Naked Gun,88%,73%
Nobody 2,78%,89%
A Line of Fire,N/A,N/A
Lookout,N/A,N/A
Kill the Jockey,87%,N/A
Folktales,84%,N/A
Architecton,95%,N/A
Name of the Game,N/A,N/A
Shari & Lamb Chop,95%,N/A
Danny Goes Aum,N/A,N/A
Blood & Myth,N/A,N/A
Highest 2 Lowest,89%,85%
Death of a Ladies' Man,90%,N/A
Shoshana,73%,58%
Inspector Zende,N/A,N/A
Runt,N/A,N/A
Paperweight,N/A,N/A
Beggarman,N/A,N/A
Wages of Sin,N/A,N/A
AngelHeaded Hipster: The Songs of Marc Bolan & T. Rex,79%,N/A
Lil Rel Howery: Rel Talk,N/A,N/A
The Thursday Murder Club,76%,54%
Together,90%,76%
Superman,83%,90%
KPop Demon Hunters,98%,99%
F1 The Movie,82%,97%
Unknown Number: The High School Catfish,N/A,77%
Thunderbolts*,88%,93%
Sketch,94%,83%
War of the Worlds,4%,21%
Materialists,79%,66%
Sinners,97%,96%
28 Years Later,88%,63%
Bring Her Back,89%,79%
The Life of Chuck,80%,88%
Jurassic World Rebirth,51%,71%
She Rides Shotgun,86%,91%
Mission: Impossible - The Final Reckoning,80%,88%
I Know What You Did Last Summer,36%,68%
The Bad Guys 2,88%,94%
Eddington,69%,65%
The Conjuring,86%,83%
The Conjuring: The Devil Made Me Do It,56%,83%
Evelyn,100%,82%
The Home,28%,59%
Lilo & Stitch,72%,92%
365 Days,0%,36%
Heretic,91%,76%
The Map That Leads to You,36%,57%
Eenie Meanie,42%,59%
Hostiles,71%,77%
Hamilton,98%,N/A
Ballerina,76%,92%
Black Bag,96%,70%
Fall for Me,N/A,N/A
The Ballad of Wallis Island,96%,93%
Friendship,87%,73%
Companion,93%,89%
The Amateur,62%,87%
The Conjuring 2,80%,82%
Night Always Comes,55%,40%
How to Train Your Dragon,76%,97%
The Monkey,77%,55%
Red Sonja,56%,55%
Jaws,97%,91%
From Straight A's to XXX,N/A,59%
Last Breath,79%,91%
The Stranger,92%,74%
Descendent,88%,N/A
Oddity,96%,77%
